animal,ptt,datetime_utc,longitud,latitude,LC,error_radius,ellipse_orient,semi_major,semi_minor
ZcTag044,53620,11/16/2015 16:46,-156.58074,20.23649,LB,7946,136,20384,3097
ZcTag044,53620,11/16/2015 19:53,-156.55621,20.20881,LB,2459,152,23514,257
ZcTag044,53620,11/16/2015 20:40,-156.54246,20.20522,LB,912,113,1608,517
ZcTag044,53620,11/17/2015 0:23,-156.46657,20.12252,LB,3366,93,5821,1946
ZcTag044,53620,11/17/2015 3:53,-156.42025,20.18206,LB,2461,58,3019,2005
ZcTag044,53620,11/17/2015 4:00,-156.41855,20.18302,LB,1637,52,2075,1291
ZcTag044,53620,11/17/2015 4:28,-156.41313,20.19231,L1,1290,48,5488,303
ZcTag044,53620,11/17/2015 13:02,-156.46869,20.07739,L0,14912,102,677871,328
ZcTag044,53620,11/17/2015 16:17,-156.34351,20.03194,L0,5469,102,58973,507
ZcTag044,53620,11/17/2015 16:39,-156.33887,20.02902,L2,292,22,611,139
ZcTag044,53620,11/17/2015 17:18,-156.33334,20.03589,LB,1369,106,1513,1238
ZcTag044,53620,11/17/2015 19:36,-156.31735,20.03487,LB,1720,115,3121,947
ZcTag044,53620,11/17/2015 20:15,-156.31024,20.03194,L0,2022,113,20950,195
ZcTag044,53620,11/18/2015 0:15,-156.28097,20.02186,L1,958,73,6497,141
ZcTag044,53620,11/18/2015 1:55,-156.27077,20.00641,L0,2153,101,6306,735
ZcTag044,53620,11/18/2015 3:23,-156.27143,20.00501,L1,828,64,5704,120
ZcTag044,53620,11/18/2015 3:49,-156.26674,19.99637,L0,2082,53,3257,1330
ZcTag044,53620,11/18/2015 7:28,-156.26665,19.95994,L1,1099,44,2505,482
ZcTag044,53620,11/18/2015 15:51,-156.24594,19.89184,L1,1029,73,5108,207
ZcTag044,53620,11/18/2015 16:24,-156.2318,19.89875,L0,1792,126,3953,812
ZcTag044,53620,11/19/2015 3:01,-156.22605,19.92534,LB,3208,101,16889,609
ZcTag044,53620,11/19/2015 4:34,-156.22804,19.94239,LB,3617,99,5148,2540
ZcTag044,53620,11/19/2015 8:05,-156.26183,19.94878,L1,1051,85,10711,103
ZcTag044,53620,11/19/2015 12:36,-156.39049,20.01695,L0,4412,91,41581,468
ZcTag044,53620,11/19/2015 14:33,-156.40766,20.04194,LB,9134,125,27457,3038
ZcTag044,53620,11/19/2015 16:05,-156.4294,20.06447,LB,13190,119,18078,9623
ZcTag044,53620,11/19/2015 23:56,-156.53018,20.17331,LA,1313,87,8278,208
ZcTag044,53620,11/20/2015 5:11,-156.59958,20.15891,LA,1182,148,5627,248
ZcTag044,53620,11/20/2015 6:51,-156.64028,20.14909,LB,1434,141,2298,894
ZcTag044,53620,11/20/2015 8:29,-156.68127,20.13652,L1,731,56,4596,116
ZcTag044,53620,11/20/2015 15:40,-156.61423,20.13594,L1,1249,152,3633,429
ZcTag044,53620,11/20/2015 16:10,-156.5937,20.13156,LB,2762,98,3766,2025
ZcTag044,53620,11/20/2015 16:43,-156.56979,20.12671,LB,2490,94,15569,398
ZcTag044,53620,11/20/2015 20:55,-156.38651,20.1144,LB,4488,47,6696,3007
ZcTag044,53620,11/21/2015 1:28,-156.40282,20.2112,LA,5063,102,22864,1121
ZcTag044,53620,11/21/2015 3:58,-156.42724,20.27402,LB,7929,88,11348,5539
ZcTag044,53620,11/21/2015 7:19,-156.45601,20.34026,LB,4804,83,17939,1286
ZcTag044,53620,11/21/2015 8:05,-156.45988,20.31313,L2,293,81,513,167
ZcTag044,53620,11/21/2015 12:15,-156.36092,20.24745,L0,3510,109,22557,546
ZcTag044,53620,11/21/2015 13:55,-156.34987,20.26916,L0,2554,87,12614,517
ZcTag044,53620,11/21/2015 15:53,-156.33132,20.24751,L0,1767,130,10546,296
ZcTag044,53620,11/21/2015 16:19,-156.32924,20.24858,L0,5747,102,13435,2458
ZcTag044,53620,11/21/2015 17:37,-156.31954,20.27088,LB,7260,97,8948,5889
ZcTag044,53620,11/21/2015 19:50,-156.31146,20.29461,L3,180,82,359,90
ZcTag044,53620,11/21/2015 23:37,-156.27944,20.31371,LB,2591,70,2738,2451
ZcTag044,53620,11/22/2015 3:19,-156.24519,20.32654,L0,2804,105,5444,1444
ZcTag044,53620,11/22/2015 6:03,-156.20114,20.36462,LA,4060,49,10974,1502
ZcTag044,53620,11/22/2015 15:54,-156.22738,20.59091,L0,2257,114,21387,238
ZcTag044,53620,11/22/2015 17:30,-156.14347,20.55646,LA,2615,4,5918,1155
ZcTag044,53620,11/22/2015 17:55,-156.15822,20.54462,LA,3152,157,4236,2345
ZcTag044,53620,11/22/2015 23:21,-156.1405,20.55454,L0,7121,6,19547,2594
ZcTag044,53620,11/23/2015 4:41,-156.20268,20.49766,L2,379,95,1404,102
ZcTag044,53620,11/23/2015 4:41,-156.20279,20.49754,L2,494,97,2064,118
ZcTag044,53620,11/23/2015 4:41,-156.20254,20.4977,L2,401,99,2169,74
ZcTag044,53620,11/23/2015 8:17,-156.15516,20.47982,LB,1883,55,2316,1530
ZcTag044,53620,11/23/2015 13:31,-156.1559,20.44383,L0,2258,112,14035,363
ZcTag044,53620,11/23/2015 17:16,-156.19862,20.40992,LB,18223,75,21044,15780
ZcTag044,53620,11/24/2015 2:31,-156.30033,20.31626,L0,4809,77,17281,1338
ZcTag044,53620,11/24/2015 4:09,-156.30305,20.30871,LB,2019,46,3503,1163
ZcTag044,53620,11/24/2015 4:09,-156.30304,20.30914,LA,1773,45,3132,1003
ZcTag044,53620,11/24/2015 4:25,-156.29857,20.31,L1,874,160,1830,417
ZcTag044,53620,11/24/2015 8:39,-156.29346,20.28986,LB,2876,30,3090,2676
ZcTag044,53620,11/24/2015 15:17,-156.28988,20.29929,L0,3070,111,9567,985
ZcTag044,53620,11/24/2015 16:37,-156.28051,20.32927,L1,873,128,2655,287
ZcTag044,53620,11/24/2015 16:59,-156.28188,20.33369,L2,440,28,656,294
ZcTag044,53620,11/24/2015 16:59,-156.28151,20.33323,L2,394,28,519,298
ZcTag044,53620,11/24/2015 21:18,-156.25482,20.3526,LB,2557,71,3055,2139
ZcTag044,53620,11/25/2015 0:45,-156.23769,20.36932,LB,2550,74,3247,2002
ZcTag044,53620,11/25/2015 2:20,-156.23167,20.37555,LB,2208,76,3104,1570
ZcTag044,53620,11/25/2015 3:44,-156.22664,20.38679,LB,1708,71,2295,1271
ZcTag044,53620,11/25/2015 6:41,-156.21421,20.41245,L1,1024,60,4632,226
ZcTag044,53620,11/25/2015 7:33,-156.21544,20.43705,LB,1376,66,1813,1044
ZcTag044,53620,11/25/2015 8:22,-156.21756,20.46436,L1,766,119,2341,250
ZcTag044,53620,11/25/2015 13:09,-156.20475,20.40683,LB,6577,114,118499,365
ZcTag044,53620,11/25/2015 16:49,-156.21371,20.31159,LB,7446,94,15507,3575
ZcTag044,53620,11/25/2015 20:09,-156.23393,20.27874,L0,7938,103,370624,170
ZcTag044,53620,11/26/2015 2:19,-156.19086,20.21958,L0,10720,69,59049,1946
ZcTag044,53620,11/26/2015 4:07,-156.18247,20.26002,LA,4180,90,8422,2074
ZcTag044,53620,11/26/2015 4:46,-156.18506,20.26804,L1,808,104,4587,142
ZcTag044,53620,11/26/2015 5:02,-156.19731,20.26163,L0,2587,105,5486,1219
ZcTag044,53620,11/26/2015 6:25,-156.22715,20.24823,LA,2986,100,6908,1290
ZcTag044,53620,11/26/2015 8:06,-156.25241,20.28058,LA,1806,94,16146,202
ZcTag044,53620,11/26/2015 14:55,-156.37652,20.30384,LB,1085,98,1266,929
ZcTag044,53620,11/26/2015 15:49,-156.39258,20.30788,LA,1557,83,7142,339
ZcTag044,53620,11/26/2015 15:50,-156.39207,20.30843,LB,1037,96,3572,301
ZcTag044,53620,11/26/2015 17:33,-156.43336,20.34946,LB,4083,126,5358,3111
ZcTag044,53620,11/26/2015 18:50,-156.40376,20.38686,L0,4949,137,20713,1182
ZcTag044,53620,11/28/2015 2:32,-156.30022,20.38074,LB,7675,106,74846,787
ZcTag044,53620,11/28/2015 3:32,-156.24793,20.38585,LB,7482,103,10326,5421
ZcTag044,53620,11/28/2015 7:21,-156.14273,20.43153,L3,156,71,378,64
ZcTag044,53620,11/28/2015 8:14,-156.15709,20.39492,L1,506,86,2453,104
ZcTag044,53620,11/28/2015 12:34,-156.20855,20.33682,LB,3369,13,3482,3259
ZcTag044,53620,11/28/2015 15:04,-156.23937,20.30852,LA,4849,66,13957,1684
ZcTag044,53620,11/28/2015 16:15,-156.26792,20.30368,LA,2102,131,4522,977
ZcTag044,53620,11/28/2015 16:40,-156.28307,20.29486,LB,1043,104,5634,193
ZcTag044,53620,11/28/2015 19:47,-156.38359,20.2846,L0,3940,98,39396,394
ZcTag044,53620,11/28/2015 21:33,-156.44523,20.2529,LB,13392,85,17167,10447
ZcTag044,53620,11/30/2015 3:29,-156.85919,20.21534,LB,9669,56,30047,3111
ZcTag044,53620,11/30/2015 4:26,-156.84073,20.21547,LB,3620,60,5272,2485
ZcTag044,53620,11/30/2015 12:13,-156.82304,20.14635,LB,15861,81,29513,8524
ZcTag044,53620,11/30/2015 14:01,-156.73353,20.11412,LB,13530,84,59104,3097
ZcTag044,53620,11/30/2015 15:46,-156.78134,20.17994,LB,10468,79,68700,1595
ZcTag044,53620,11/30/2015 17:01,-156.79712,20.16971,LB,6547,79,13148,3260
ZcTag044,53620,11/30/2015 17:27,-156.80974,20.16631,LB,4967,84,8217,3002
ZcTag044,53620,11/30/2015 20:45,-156.8714,20.14645,LB,2287,104,2750,1901
ZcTag044,53620,12/2/2015 3:16,-157.05295,20.25514,LA,2099,125,3442,1279
ZcTag044,53620,12/2/2015 4:32,-157.07643,20.24806,L1,621,97,3059,126
ZcTag044,53620,12/2/2015 6:54,-157.10868,20.22456,LB,2289,85,3581,1462
ZcTag044,53620,12/2/2015 8:32,-157.10051,20.21517,LA,3233,101,12308,849
ZcTag044,53620,12/2/2015 13:38,-157.21418,20.06463,L0,2228,90,18871,263
ZcTag044,53620,12/2/2015 15:01,-157.28544,20.01421,LB,1961,150,2959,1299
ZcTag044,53620,12/2/2015 15:27,-157.29398,20.00449,L1,1393,36,2831,685
ZcTag044,53620,12/2/2015 17:13,-157.31368,19.92232,LB,7413,96,12515,4390
ZcTag044,53620,12/2/2015 17:40,-157.30755,19.91955,L1,790,108,3825,163
ZcTag044,53620,12/2/2015 23:06,-157.20024,19.84636,LB,2172,98,3201,1473
ZcTag044,53620,12/4/2015 7:01,-156.53919,19.68252,LA,32269,58,303663,3429
ZcTag044,53620,12/4/2015 16:38,-156.52254,19.83876,LA,11975,88,159154,901
ZcTag044,53620,12/4/2015 16:39,-156.52258,19.83877,LB,9285,88,109802,785
ZcTag044,53620,12/7/2015 3:46,-156.24681,19.92651,LB,22916,92,61960,8475
ZcTag044,53620,12/7/2015 5:33,-156.09498,19.92836,LB,39110,94,138082,11077
ZcTag044,53620,12/7/2015 8:32,-156.07006,19.9417,LB,38687,100,141554,10573
ZcTag044,53620,12/7/2015 15:05,-156.187,20.19698,L0,5866,34,64791,531
ZcTag044,53620,12/7/2015 16:11,-156.25798,20.13134,LB,1291,92,2408,692
ZcTag044,53620,12/7/2015 16:23,-156.26333,20.13059,LA,1640,91,3289,817
ZcTag044,53620,12/7/2015 16:44,-156.27227,20.12696,L0,4680,92,30883,709
ZcTag044,53620,12/7/2015 21:02,-156.25067,20.11475,LB,5468,72,9441,3166
ZcTag044,53620,12/7/2015 23:58,-156.23324,20.12213,LB,5214,45,18798,1446
ZcTag044,53620,12/10/2015 4:06,-156.20993,20.26562,LA,1086,22,2797,421
ZcTag044,53620,12/10/2015 4:18,-156.21361,20.27195,LB,1563,66,2405,1015
ZcTag044,53620,12/10/2015 8:18,-156.24628,20.30776,LB,4719,19,5773,3856
ZcTag044,53620,12/10/2015 12:06,-156.30898,20.30535,L0,11314,85,91815,1394
ZcTag044,53620,12/10/2015 16:54,-156.18812,20.39118,LB,14141,109,38970,5131
ZcTag044,53620,12/10/2015 17:19,-156.18751,20.39687,LA,3044,110,15106,613
ZcTag044,53620,12/10/2015 20:01,-156.12055,20.45873,LB,3749,110,6401,2195
ZcTag044,53620,12/10/2015 23:20,-156.04146,20.53792,LB,3308,114,17337,631
ZcTag044,53620,12/13/2015 0:40,-155.76257,20.68986,LA,7400,80,80037,684
ZcTag044,53620,12/13/2015 3:00,-155.7181,20.69888,L0,3590,81,29819,432
ZcTag044,53620,12/13/2015 4:15,-155.71711,20.72824,LB,5219,84,6517,4178
ZcTag044,53620,12/13/2015 4:37,-155.70138,20.74052,LB,6378,73,12627,3221
ZcTag044,53620,12/13/2015 8:55,-155.57208,20.85049,L0,8510,69,61778,1172
ZcTag044,53620,12/13/2015 20:35,-155.81952,20.97342,LB,6606,110,44757,975
ZcTag044,53620,12/16/2015 5:53,-156.84683,21.41107,L0,10059,91,61545,1644
ZcTag044,53620,12/16/2015 7:51,-156.86979,21.40251,L0,5378,75,108298,267
ZcTag044,53620,12/16/2015 8:46,-156.88406,21.37821,LB,7575,83,12342,4648
ZcTag044,53620,12/16/2015 14:19,-156.92367,21.28286,L0,3015,116,11501,790
ZcTag044,53620,12/16/2015 16:04,-156.95009,21.25782,L1,1069,103,7707,148
ZcTag044,53620,12/16/2015 17:01,-156.92742,21.25081,LB,6812,76,9463,4903
ZcTag044,53620,12/16/2015 17:50,-156.91796,21.25422,LB,8604,84,12914,5732
ZcTag044,53620,12/16/2015 20:20,-156.88732,21.28155,L0,16446,97,288959,936
ZcTag044,53620,12/19/2015 3:49,-156.77356,21.39076,L0,14117,73,91962,2167
ZcTag044,53620,12/19/2015 7:42,-156.78975,21.43542,L0,6995,77,158849,308
ZcTag044,53620,12/19/2015 14:38,-156.723,21.46215,LB,20497,93,36748,11432
ZcTag044,53620,12/19/2015 16:15,-156.73118,21.46324,LB,14883,102,53926,4107
ZcTag044,53620,12/19/2015 17:16,-156.73031,21.45253,L0,5178,104,57655,465
ZcTag044,53620,12/19/2015 19:19,-156.74183,21.42171,LB,4181,105,12079,1447
ZcTag044,53620,12/19/2015 20:12,-156.74833,21.4102,LA,3871,102,220345,68
ZcTag044,53620,12/22/2015 7:25,-156.91435,21.42093,L1,679,7,991,464
ZcTag044,53620,12/22/2015 8:20,-156.90124,21.43137,L1,590,51,2161,161
ZcTag044,53620,12/22/2015 16:32,-156.90944,21.50294,LB,3821,107,10081,1448
ZcTag044,53620,12/22/2015 16:43,-156.91447,21.50692,LB,3647,108,11624,1144
ZcTag044,53620,12/22/2015 19:58,-156.92493,21.5011,LB,2453,102,5633,1068
ZcTag044,53620,12/22/2015 21:30,-156.92538,21.49662,LB,2475,102,7076,865
ZcTag044,53620,12/25/2015 4:34,-157.10804,21.50154,LB,1284,32,6978,236
