Date,Boat,Sighting_Number,Species,Island_area,Sighting_Cue,Sea_Conditions,Start.time,latitude,longitud,Start.depth,End.time,Encounter.duration,Group.size..min.,Group.size..best.,Group.size..max.,datetimeHST,datetimeUTC,month,year,datetime_pdt
28-Jan-05,wild whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,10:04,19.29544,-155.94048,1636,10:12,0.13,2,2,2,1/28/05,1/28/05 10:00,1,2005,1/28/05 10:00
28-Jan-05,wild whale,5,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:55,19.28168,-155.98987,2616,11:58,0.04,1,1,1,1/28/05,1/28/05 10:00,1,2005,1/28/05 10:00
24-Mar-06,Wild Whale,5,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,14:00,19.81277,-156.14,1038,14:02,0.03,4,5,7,3/24/06,3/24/06 10:00,4,2006,3/24/06 10:00
25-Mar-06,Wild Whale,3,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:43,19.68712,-156.08644,1635,10:44,0.01,1,1,2,3/25/06,3/25/06 10:00,4,2006,3/25/06 10:00
6-Apr-06,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,8:49,19.54757,-156.15923,2774,9:17,0.46,1,1,1,4/6/06,4/6/06 10:00,4,2006,4/6/06 10:00
12-Apr-06,Wild Whale,6,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,10:33,19.63036,-156.08986,1961,10:44,0.18,2,2,2,4/12/06,4/12/06 10:00,4,2006,4/12/06 10:00
15-Apr-06,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:16,19.33298,-156.19391,3903,11:53,0.61,3,3,3,4/15/06,4/15/06 10:00,4,2006,4/15/06 10:00
20-Apr-06,Wild Whale,7,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:59,19.43781,-155.9463,849,16:20,4.35,3,3,3,4/20/06,4/20/06 10:00,4,2006,4/20/06 10:00
17-Nov-06,New whaler,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:35,19.35999,-156.00235,2333,9:38,0.04,1,1,1,11/17/06,11/17/06 10:00,11,2006,11/17/06 10:00
19-Nov-06,New whaler,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,7:59,19.69086,-156.11955,2148,8:29,0.5,4,4,5,11/19/06,11/19/06 10:00,11,2006,11/19/06 10:00
19-Nov-06,New whaler,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:54,19.52508,-156.02716,1505,16:02,2.13,2,2,2,11/19/06,11/19/06 10:00,11,2006,11/19/06 10:00
21-Nov-06,New whaler,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:30,19.35783,-156.00786,2360,14:35,1.08,3,3,4,11/21/06,11/21/06 10:00,11,2006,11/21/06 10:00
22-Nov-06,New whaler,4,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:42,19.90814,-156.19617,1389,13:24,2.7,3,3,3,11/22/06,11/22/06 10:00,11,2006,11/22/06 10:00
22-Nov-06,New whaler,6,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,14:10,19.82841,-156.14825,1300,15:34,1.4,3,3,3,11/22/06,11/22/06 10:00,11,2006,11/22/06 10:00
24-Nov-06,New whaler,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:31,19.90188,-156.27017,2467,13:21,1.83,2,2,2,11/24/06,11/24/06 10:00,11,2006,11/24/06 10:00
30-Nov-06,New whaler,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:34,19.44288,-156.05156,2410,13:42,4.13,4,4,4,11/30/06,11/30/06 10:00,11,2006,11/30/06 10:00
4-Dec-06,New whaler,5,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:00,19.2226,-155.92285,1102,11:19,0.31,5,5,6,12/4/06,12/4/06 10:00,11,2006,12/4/06 10:00
5-Dec-06,New whaler,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,10:36,19.7165,-156.11528,1864,12:19,1.71,4,4,4,12/5/06,12/5/06 10:00,11,2006,12/5/06 10:00
8-Dec-06,New whaler,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:55,19.55954,-156.02524,1156,15:48,1.88,3,3,3,12/8/06,12/8/06 10:00,11,2006,12/8/06 10:00
15-Aug-07,New whaler,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,9:01,19.37969,-155.93065,919,10:39,1.63,1,1,1,8/15/07,8/15/07 10:00,8,2007,8/15/07 10:00
5-May-08,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:48,19.46356,-156.03265,2123,9:17,0.48,3,3,3,5/5/08,5/5/08 10:00,5,2008,5/5/08 10:00
6-May-08,Wild Whale,5,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,9:58,19.30203,-155.96358,2046,10:02,0.06,1,1,2,5/6/08,5/6/08 10:00,5,2008,5/6/08 10:00
7-Jul-08,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:13,19.6601,-156.12604,2383,13:41,0.46,4,4,4,7/7/08,7/7/08 10:00,7,2008,7/7/08 10:00
10-Jul-08,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,7:42,19.58221,-156.02084,946,10:54,3.2,10,11,13,7/10/08,7/10/08 10:00,7,2008,7/10/08 10:00
12-Jul-08,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,9:11,19.17521,-155.95187,1400,10:14,1.05,1,1,1,7/12/08,7/12/08 10:00,7,2008,7/12/08 10:00
2-Dec-08,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:41,19.82672,-156.15082,1451,13:45,1.06,1,1,1,12/2/08,12/2/08 10:00,12,2008,12/2/08 10:00
13-Dec-08,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:55,19.1789,-155.93442,1023,11:12,0.28,2,2,2,12/13/08,12/13/08 10:00,12,2008,12/13/08 10:00
23-Apr-09,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:45,19.87432,-156.16295,989,11:48,0.04,2,2,3,4/23/09,4/23/09 10:00,4,2009,4/23/09 10:00
25-Apr-09,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:25,19.26704,-155.936,1645,13:10,0.75,1,1,1,4/25/09,4/25/09 10:00,4,2009,4/25/09 10:00
28-Apr-09,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,8:57,19.5444,-156.01799,1169,9:56,0.98,1,1,1,4/28/09,4/28/09 10:00,4,2009,4/28/09 10:00
29-Apr-09,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,11:11,19.22943,-156.19707,3812,12:56,1.75,3,3,3,4/29/09,4/29/09 10:00,4,2009,4/29/09 10:00
29-Apr-09,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,15:35,19.35707,-156.08298,3213,15:35,0,1,1,1,4/29/09,4/29/09 10:00,4,2009,4/29/09 10:00
2-May-09,Wild Whale,6,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,13:48,19.30151,-155.90572,861,15:32,1.73,5,6,7,5/2/09,5/2/09 10:00,4,2009,5/2/09 10:00
22-Oct-09,Wild Whale,4,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:51,19.65751,-156.05789,1218,15:06,1.25,1,1,1,10/22/09,10/22/09 10:00,10,2009,10/22/09 10:00
23-Oct-09,Wild Whale,2,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 1,10:50,19.29853,-156.05437,3111,12:10,1.33,3,3,3,10/23/09,10/23/09 10:00,10,2009,10/23/09 10:00
23-Oct-09,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,12:25,19.30911,-155.98566,2339,12:25,0,1,1,1,10/23/09,10/23/09 10:00,10,2009,10/23/09 10:00
29-Oct-09,Wild Whale,2,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,12:45,19.39019,-156.13057,3681,14:30,1.75,2,2,2,10/29/09,10/29/09 10:00,10,2009,10/29/09 10:00
8-Dec-09,Wild Whale,1,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,11:54,19.44872,-155.99074,1360,13:21,1.45,1,1,1,12/8/09,12/8/09 10:00,12,2009,12/8/09 10:00
11-Dec-09,Wild Whale,5,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,13:37,19.7408,-156.17789,2610,15:11,1.56,3,3,3,12/11/09,12/11/09 10:00,12,2009,12/11/09 10:00
12-Dec-09,Wild Whale,1,Blainville's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 0,9:18,19.46436,-155.96519,1085,10:05,0.78,3,3,3,12/12/09,12/12/09 10:00,12,2009,12/12/09 10:00
13-Dec-09,Wild Whale,3,Cuvier's beaked whale,Hawaii,"Splash, blow, or fin",Beaufort 2,10:10,19.28974,-155.98067,2378,10:32,0.36,1,1,1,12/13/09,12/13/09 10:00,12,2009,12/13/09 10:00
